"id","term","category","weight"
"1","pbs","LABEL","0.00000000368621898107"
"2","shoppers","LABEL","0.000000322455253964"
"3","expires","LABEL","-0.000000610971570831"
"4","crashes","LABEL","-0.000000895976230561"
"5","collard","LABEL","0.000000463027367088"
"6","abroad","LABEL","-0.0000106111851445"
"7","ment","LABEL","0.00000537781255461"
"8","kiddin","LABEL","-0.00000152942845982"
"9","#holyshit","LABEL","0.00000207715973549"
"10","declared","LABEL","-0.000000759977553741"
"11","recommended","LABEL","-0.00000445593054831"
"12","attempted","LABEL","-0.000000249861707783"
"13","womens","LABEL","-0.0000549282446759"
"14","matrix","LABEL","0.0000015461616325"
"15","earl","LABEL","-0.000000290634105101"
"16","#seriously","LABEL","0.00000296656289093"
"17","midway","LABEL","-0.000000791526709342"
"18","rarely","LABEL","0.00000690950903128"
"19","lucifer","LABEL","-0.00000147217943246"
"20","toward","LABEL","0.00000488317463265"
"21","elected","LABEL","-0.00000173482452113"
"22","#jerk","LABEL","0.00000270432433259"
"23","fellow","LABEL","-0.00000714510266856"
"24","salt","LABEL","-0.00000807380816645"
"25","beautifully","LABEL","-0.00000113215785187"
"26","#represent","LABEL","-0.000000215487320821"
"27","size","LABEL","-0.0000253164945393"
"28","stripped","LABEL","0.00000163754661231"
"29","tyga","LABEL","0.00000533235803944"
"30","healing","LABEL","0.00000535892641228"
"31","brung","LABEL","0.00000239590822176"
"32","guru","LABEL","-0.000000740723118021"
"33","bob","LABEL","-0.0000633452923626"
"34","semi","LABEL","-0.00000234326010781"
"35","urs","LABEL","-0.00000161687465739"
"36","inform","LABEL","-0.000000315923842717"
"37","scholarships","LABEL","-0.000000720872904174"
"38","homage","LABEL","-0.00000111370446292"
"39","en","LABEL","-0.0000531610294535"
"40","ireland","LABEL","-0.00000875859141964"
"41","carter","LABEL","-0.0000400498458548"
"42","swallowing","LABEL","-0.00000085862107476"
"43","we'll","LABEL","-0.0000591636274221"
"44","ya","LABEL","0.000589481918764"
"45","feelin","LABEL","0.0000314259409171"
"46","him","LABEL","0.000283453965502"
"47","seafood","LABEL","0.00000831312757061"
"48","twins","LABEL","-0.0000214376278866"
"49","moan","LABEL","0.00000446504646822"
"50","dieing","LABEL","-0.00000367530464316"
"51","squeaky","LABEL","-0.00000253415280023"
"52","unworthy","LABEL","0.0000000497169780991"
"53","snoop","LABEL","-0.0000244874655287"
"54","flickering","LABEL","-0.000000529352363689"
"55","bach","LABEL","0.0000039668102144"
"56","main","LABEL","-0.0000282319251929"
"57","#leggo","LABEL","0.00000365995320006"
"58","#senioryear","LABEL","-0.00000220040511337"
"59","#relaxation","LABEL","0.0000035958422152"
"60","donna","LABEL","-0.00000221425590465"
"61","musician","LABEL","0.00000269585825015"
"62","nurse","LABEL","-0.00000228589492929"
"63","formula","LABEL","0.00000159390067921"
"64","anon","LABEL","-0.0000084117523118"
"65","sidelines","LABEL","-0.000000421645126292"
"66","new","LABEL","-0.000595320643587"
"67","e","LABEL","-0.0000424912801687"
"68","hiphop","LABEL","-0.00000073020023913"
"69","explosive","LABEL","-0.000000884835939225"
"70","dudes","LABEL","0.0000276921911842"
"71","brantley","LABEL","0.00000254817264355"
"72","dude's","LABEL","-0.00000032591366493"
"73","#crazy","LABEL","0.00000336438791172"
"74","#nohomo","LABEL","0.00000293234830571"
"75","fuckas","LABEL","0.00000397975775361"
"76","dawg","LABEL","0.0000464383061009"
"77","gaps","LABEL","0.000000539024174243"
"78","sharpie","LABEL","-0.00000163379189078"
"79","objects","LABEL","-0.0000010366791725"
"80","myers","LABEL","0.000000747287316915"
"81","proceeded","LABEL","-0.00000131335534715"
"82","zach","LABEL","-0.0000255005279026"
"83","furniture","LABEL","0.00000479005519216"
"84","#philly","LABEL","-0.000051487560611"
"85","fasting","LABEL","-0.00000184909474894"
"86","mccartney","LABEL","-0.00000243763955313"
"87","believe","LABEL","-0.0000132998781113"
"88","skim","LABEL","0.000000238108363374"
"89","stacks","LABEL","0.00000545880485266"
"90","win","LABEL","-0.000216253548389"
"91","british","LABEL","-0.0000213730055441"
"92","munching","LABEL","0.000000834766148429"
"93","vocabulary","LABEL","0.000000615402112262"
"94","#confession","LABEL","0.00000530956257001"
"95","rise","LABEL","-0.00000184123177743"
"96","sneaking","LABEL","-0.00000123608664387"
"97","#hateyou","LABEL","-0.000000364002901914"
"98","cent","LABEL","-0.0000112764278116"
"99","invitations","LABEL","-0.00000260112829432"
"100","tyrone","LABEL","-0.00000157478440164"
"101","counselor","LABEL","-0.000000688662788706"
"102","chic","LABEL","-0.00000646872680365"
"103","bruhh","LABEL","0.00000819987975466"
"104","gona","LABEL","0.00000780555805816"
"105","onnn","LABEL","0.0000016822699591"
"106","aways","LABEL","-0.000000547952672776"
"107","kara","LABEL","0.000000388979226853"
"108","discussions","LABEL","0.000000650817125379"
"109","sacrificing","LABEL","-0.0000010720431704"
"110","congratulate","LABEL","-0.00000199871624741"
"111","funnn","LABEL","0.00000177603646966"
"112","niece","LABEL","0.0000183077956075"
"113","yesssssssss","LABEL","0.00000134946320847"
"114","magnificent","LABEL","-0.000000461885051387"
"115","#funfact","LABEL","0.0000010031566095"
"116","vessel","LABEL","0.0000000644149071409"
"117","caf","LABEL","-0.000000165792113068"
"118","4:45","LABEL","-0.000000437318584002"
