"term","weight"
"only","5.02667945833"
"care","-3.7681844117"
"starts","-0.24632767696"
"floor","-0.599402747942"
"status","-5.82882176139"
"&","-22.4736562875"
"chance","-17.7118578203"
"or","13.6322783277"
"2","-7.65520164914"
"him","0.622420625129"
"during","-11.5332128536"
"away","-4.85635009795"
"spring","-4.49748554672"
"else","3.07083401397"
"hope","-2.29083242792"
"sleeping","0.581818148153"
"top","-3.37554629455"
"helped","0.00702627572497"
"chocolate","2.22096086109"
"spending","-0.99038969056"
"tired","7.88531213103"
"things","9.03521510861"
"lord","-9.10804885398"
"find","2.33493840067"
"good","-10.3672633539"
"wednesday","0.423614419243"
"she's","-1.05323372262"
"i","99.2255287872"
"need","8.24195999203"
"don't","25.5954538568"
"hell","3.09416124078"
"note","-0.556730537646"
"white","-1.87176276234"
"do","9.54263781505"
"forget","2.15206136348"
"change","-1.63965249601"
"has","7.4682507304"
"ready","-2.17373186794"
"for","-12.904253195"
"fire","-1.61257817533"
"nice","-0.115091373122"
"paper","0.80540871526"
"park","2.24058061439"
"brother","2.83774981565"
"15","-1.32662880651"
"across","-0.626132745837"
"sounds","0.681657380706"
"music","9.61988742735"
"talking","-0.195422842887"
"down","4.5094504916"
"bowl","1.53764329964"
"right","5.62963326872"
"easter","-1.03015938398"
"still","8.78512324401"
"than","-1.83743495781"
"letting","0.481371312796"
"tonight","-11.8938454324"
"i'd","6.52231143066"
"far","-1.65892613189"
"â","-0.790567631233"
"happen","-2.24570105562"
"use","2.03272999433"
"had","13.5319463671"
"excited","-3.32145496979"
"middle","-0.473820297766"
"shopping","-0.336700389402"
"pizza","-2.9370052175"
"day","-20.0235859364"
"light","0.385361205596"
"least","2.23176516009"
"all","14.2186247222"
"air","-0.140124600582"
"young","-0.176704699828"
"july","0.947510891838"
"tell","-7.38695480409"
"hands","0.747530170743"
"control","-0.679751022314"
"pull","-1.01194304379"
"low","0.102837702154"
"sure","-6.10673512153"
"fun","-7.41045900848"
"buy","2.14655412746"
"dear","-1.03670258155"
"red","-0.472895351315"
"dance","2.7727472892"
"cheese","-2.29997919183"
"...","17.5314371124"
"realized","1.64153253742"
"killed","-0.798268142569"
"afternoon","-2.88579902586"
"video","16.9496039599"
"kill","0.227644478245"
"power","-1.7925699009"
"wouldn't","0.530929912632"
"each","-0.426604028158"
"wanna","-1.39649144966"
"this","-8.88112595596"
"issues","-0.532137063584"
"going","4.01333222766"
"profile","0.917800202653"
"kept","1.30400659613"
"fast","2.3628902233"
"able","5.58263072472"
"won't","2.62894360851"
"business","-4.0572080464"
"follow","-18.5755658227"
"reason","0.779184074433"
"these","3.26883832073"
"agree","-1.93421746123"
"stop","4.13982299349"
"boy","-0.748818380319"
"what","0.884003187455"
"have","26.1399643287"
"never","6.78796172309"
"cold","1.9513583252"
"mom","6.83967878353"
"list","-0.664604996461"
"using","-1.42865661194"
"/","-11.887637776"
"our","-31.2014658463"
"c","5.47635193162"
"road","-1.26914770411"
"free","-25.6339620146"
"playing","3.88772074834"
"„","-13.9670579166"
"blessed","-2.42472489342"
"paid","-8.63806251036"
"said","4.98884479462"
"lost","6.65138356723"
"your","3.68899603062"
"any","1.53220812682"
"couldn't","1.36623412706"
"hours","-3.65018344726"
"couple","-0.874511254107"
"their","-2.42380738558"
"whatever","0.933510720712"
",","21.152936795"
"girls","-4.66404358636"
"complete","-0.125532793165"
"keeping","-0.0443293850497"
"shut","1.66816300746"
"john","-0.491749859857"
"though","3.99531792743"
"hurt","2.88834684675"
"count","-3.1076326381"
"please","0.667303440157"
"send","0.0552388086064"
"came","-0.931118090911"
"such","0.369627995062"
"'","14.9252257594"
"o","0.319704342201"
"step","-1.48791189894"
